r,q0,psi6_mean,psi6_std,psi2_mean,psi2_std,k_peak_mean,k_peak_std,n_unique_k,ring1_mean,broad_mean,n_seeds,k_ratio_mean,mode_entropy
0.112,0.974,0.13783517286039024,0.07467315603481109,0.15041429324703415,0.08534717090499382,0.9716762292116138,0.005943442563881016,50,0.9872071195282973,0.012792881030296261,50,0.9976141983692134,3.9120230053781455
0.112,0.975,0.1500902830972975,0.0889681583822989,0.15985613536229473,0.08269352231680398,0.9728913198612419,0.005778483571845853,50,0.9874160203031132,0.012583974023532311,50,0.9978372511397353,3.9120230053781455
0.112,0.976,0.14853828676382722,0.09163983221826374,0.16801978644773957,0.0909025560707576,0.974818742494716,0.0044835258605905055,50,0.9880668299940742,0.011933172985557981,50,0.9987896951790123,3.9120230053781455
0.112,0.977,0.1516337014969552,0.0832554459884781,0.14990483229771442,0.08168963502629525,0.9758274855424303,0.004558444596799565,50,0.9876699162155768,0.012330085666694775,50,0.9987998828479328,3.9120230053781455
0.112,0.978,0.1517746688840168,0.08204358497192527,0.1580227620423354,0.08581796078011396,0.9761670032611945,0.004890515884543752,50,0.9877992991770199,0.012200706327096477,50,0.9981257702057205,3.9120230053781455
0.112,0.979,0.14484912416220777,0.07826405645898274,0.13966766554865126,0.07660661666619785,0.9777597301141805,0.004565895586113821,50,0.9874247408713462,0.012575260301720211,50,0.9987331257550363,3.9120230053781455
0.112,0.98,0.15615999772129072,0.08509602225449381,0.16171713403298912,0.0748874048760108,0.9791266398565359,0.004678237145452985,50,0.9876365663545176,0.012363438144770533,50,0.9991088161801387,3.9120230053781455
0.112,0.981,0.13000715651952932,0.0693434110356114,0.14109863781800416,0.07496021990676136,0.9798040853509002,0.0044001085076905404,50,0.9874699035942371,0.01253009575729358,50,0.9987809228857291,3.9120230053781455
0.112,0.982,0.13901882223502413,0.06904820112754952,0.15478424811974636,0.08510936564089393,0.9805471049317412,0.004648998988644789,50,0.9881146431717837,0.011885367043824908,50,0.9985204734539117,3.9120230053781455
0.112,0.983,0.14562261891704334,0.08199307976065524,0.15658640617967762,0.08221798073176777,0.9822673331269316,0.004816616920161547,50,0.9882687693509924,0.011731240891755963,50,0.9992546623875195,3.9120230053781455
0.1121,0.96,0.14086255705935843,0.07770092356047344,0.15665853200405785,0.08363497064776704,0.9588772706070506,0.0038838323638516973,50,0.9866961875528025,0.013303818583813234,50,0.9988304902156778,3.9120230053781455
0.1121,0.961,0.14286737003715744,0.07577352588895682,0.18138603036894044,0.0947024480034052,0.9597998481748075,0.003979913451121926,50,0.9871695926462287,0.012830405294748303,50,0.9987511427417352,3.9120230053781455
0.1121,0.962,0.14844620371346817,0.08017443313283985,0.16442633278811697,0.10149680098349655,0.9599534874913662,0.004246772988935002,50,0.9869400027005235,0.013060003754941834,50,0.9978726481199234,3.9120230053781455
0.1121,0.963,0.14138562800870486,0.0834397481262276,0.15476698908721165,0.08483600723744975,0.9615413098089597,0.0036639608444201293,50,0.9866255239513787,0.013374476904238064,50,0.9984852645991275,3.9120230053781455
0.1121,0.964,0.15010837456447887,0.08565689777758002,0.18050557977223533,0.0947785426855829,0.9624001316778562,0.0039029523904731715,50,0.9873030014313892,0.012697006373893966,50,0.9983403855579421,3.9120230053781455
0.1121,0.965,0.13075491567047506,0.08466757221397422,0.1497611521814443,0.089538863322057,0.9634986262075803,0.00421318828500656,50,0.987018242046956,0.012981755940587257,50,0.9984441722358346,3.9120230053781455
0.1121,0.966,0.15683075997103987,0.08011925976811125,0.1799219330393722,0.09610072952615369,0.9649259000856428,0.00287103819757486,50,0.9869392880415937,0.013060713448522332,50,0.9988880953267525,3.9120230053781455
0.1121,0.967,0.14280625249588041,0.07909638443341548,0.16016973153345768,0.09554495705935202,0.9655341611788735,0.004236102192029145,50,0.987027038525577,0.012972970097669973,50,0.9984841377237575,3.9120230053781455
0.1121,0.968,0.14360648866980832,0.0746357293060488,0.1686975841480761,0.10154197614258902,0.9667066875579904,0.004941832083350172,50,0.9867793024695953,0.013220695919016555,50,0.998663933427676,3.9120230053781455
0.1121,0.969,0.15433755373725427,0.0739824597438573,0.16957132043201376,0.08924425698738568,0.9681083980682443,0.0051195958829428935,50,0.9873541011531402,0.01264590407397946,50,0.9990798741674348,3.9120230053781455
0.1121,0.97,0.1306662270970883,0.07843659811281506,0.16487721831623567,0.0851783481464212,0.968573650467689,0.005312813537270329,50,0.9877220285653694,0.012277977291649565,50,0.9985295365646278,3.9120230053781455
